"Id","StoreId","DayOfWeek","StartTime","EndTime","InfoTextDe","InfoTextEn","ShowInfoTextInsteadOfTime"
3077749,"16e2445a-ffd8-44f1-bc02-1c6b3fb5a4b0",6,"2021-09-23 11:00:00","2021-09-23 14:00:00",NULL,NULL,False
3077750,"16e2445a-ffd8-44f1-bc02-1c6b3fb5a4b0",6,"2021-09-23 17:30:00","2021-09-23 21:30:00",NULL,NULL,False
3077751,"16e2445a-ffd8-44f1-bc02-1c6b3fb5a4b0",0,"2021-09-23 17:30:00","2021-09-23 21:30:00",NULL,NULL,False
3084444,"99e05b57-c0b6-4a12-8fe7-a5b65827f326",6,"2021-09-23 11:00:00","2021-09-23 20:00:00",NULL,NULL,False
3084445,"99e05b57-c0b6-4a12-8fe7-a5b65827f326",5,"2021-09-23 11:00:00","2021-09-23 20:00:00",NULL,NULL,False
3084446,"99e05b57-c0b6-4a12-8fe7-a5b65827f326",4,"2021-09-23 11:00:00","2021-09-23 20:00:00",NULL,NULL,False
3079215,"c0700119-4f1e-4666-935e-4c435fd778da",1,"2021-09-23 12:00:00","2021-09-23 16:00:00",NULL,NULL,False
3084447,"99e05b57-c0b6-4a12-8fe7-a5b65827f326",3,"2021-09-23 11:00:00","2021-09-23 20:00:00",NULL,NULL,False
3077968,"a4d992f3-b762-4316-bead-b743d9983109",6,"2021-09-23 08:00:00","2021-09-23 15:00:00",NULL,NULL,False
3079233,"7e26bc73-8053-40b7-b90c-65d0f0515472",0,"2021-09-23 11:30:00","2021-09-23 23:00:00",NULL,NULL,False
3079234,"7e26bc73-8053-40b7-b90c-65d0f0515472",6,"2021-09-23 11:30:00","2021-09-23 23:00:00",NULL,NULL,False
3079235,"7e26bc73-8053-40b7-b90c-65d0f0515472",5,"2021-09-23 11:30:00","2021-09-23 23:00:00",NULL,NULL,False
3077969,"a4d992f3-b762-4316-bead-b743d9983109",5,"2021-09-23 08:00:00","2021-09-23 15:00:00",NULL,NULL,False
3079236,"7e26bc73-8053-40b7-b90c-65d0f0515472",4,"2021-09-23 11:30:00","2021-09-23 23:00:00",NULL,NULL,False
